;BBAS3;BBDC3;BBDC4;BOVA11;BRAP4;BRFS3;BRKM5;BRML3;BTOW3;CCRO3;CESP6;CIEL3;CMIG4;CPFE3;CPLE6;CSAN3;CSMG3;CSNA3;CYRE3;ELET6;EMBR3;FIBR3;GGBR4;GOAU4;HGTX3;HYPE3;ITUB4;LAME4;LIGT3;LREN3;MULT3;NATU3;PETR3;PETR4;PSSA3;RENT3;SANB11;SBSP3;TRPL4;VALE3;VALE5
03/02/10;0.000337008;0.000344978;0.000310733;0.000080340;0.000169516;0.000469182;0.000358558;0.000581607;0.000506638;0.000775459;0.001382428;0.000464441;0.000262853;0.000342783;0.000300512;0.000680106;0.000211677;0.000538298;0.000488907;0.000271103;0.000441913;0.000433042;0.000461714;0.000542640;0.001517254;0.001331512;0.000233256;0.000534397;0.000252875;0.001013393;0.001502597;0.000376794;0.000211385;0.000135447;0.000434092;0.000320036;0.000330330;0.000880140;0.000217197;0.000154304;0.000143174
04/02/10;0.000544473;0.000819206;0.000351009;0.000248423;0.000639341;0.000522430;0.000242314;0.000382386;0.001086663;0.001196680;0.001040005;0.001129259;0.000243686;0.000287141;0.000223150;0.001361613;0.000827679;0.000603313;0.001600414;0.000666247;0.000386064;0.001028980;0.000522489;0.000554639;0.002682796;0.000664556;0.000353387;0.001003767;0.000684870;0.000878650;0.000764988;0.000794512;0.000356125;0.000263782;0.000257065;0.000733312;0.001040667;0.000885299;0.000562562;0.000380180;0.000384245
05/02/10;0.000974045;0.001130072;0.000963196;0.000756298;0.001733295;0.001411382;0.001023443;0.003336264;0.001704160;0.003026121;0.001954147;0.002560211;0.000729319;0.001252659;0.000796788;0.001932253;0.000613719;0.001675990;0.001123624;0.001328849;0.001752257;0.002570398;0.001432933;0.001465270;0.007344146;0.003486942;0.001293926;0.001006603;0.002236008;0.001863217;0.001070503;0.009969156;0.001028746;0.000874059;0.002046125;0.004153452;0.001654812;0.000596085;0.001300809;0.000987534;0.000997179
08/02/10;0.000375494;0.000658171;0.000443780;0.000271315;0.000827724;0.000447525;0.000719591;0.000730366;0.000863290;0.000650619;0.001872663;0.000708690;0.000457208;0.000610456;0.000391043;0.000470717;0.000107318;0.000381389;0.000969621;0.000570072;0.000680216;0.000936979;0.000574134;0.000800200;0.006814108;0.001326926;0.000321810;0.000531706;0.000689551;0.000868610;0.000334196;0.000839536;0.000325979;0.000333265;0.000692557;0.001202492;0.001971995;0.000491809;0.000858609;0.000573307;0.000507498
09/02/10;0.000794209;0.000389335;0.000636079;0.000240062;0.000575971;0.000357368;0.000367516;0.000158479;0.000981608;0.000372909;0.000831165;0.000285927;0.000324048;0.000642224;0.000419418;0.000431598;0.000408819;0.000411856;0.000700249;0.000632987;0.000421023;0.001017548;0.000560585;0.000621776;0.006730794;0.001163163;0.000476255;0.001348782;0.000345554;0.000858346;0.002133861;0.000633817;0.000435801;0.000299298;0.000604779;0.001215027;0.000894832;0.000858794;0.000466051;0.000439302;0.000309552
10/02/10;0.000297183;0.000571408;0.000237181;0.000122580;0.000553959;0.000617896;0.000457943;0.000698205;0.000804014;0.000997360;0.000689763;0.000210339;0.000506211;0.000470721;0.000458458;0.000896194;0.000252405;0.000288957;0.000438385;0.000422365;0.000606736;0.000553336;0.000393993;0.000694303;0.003382074;0.000976249;0.000306210;0.000879728;0.000445812;0.000678316;0.001765575;0.000374160;0.000308330;0.000222044;0.000951952;0.001557156;0.000270185;0.000624912;0.000662071;0.000399624;0.000272659
11/02/10;0.000299390;0.000456953;0.000281191;0.000143044;0.000633775;0.000397198;0.000635992;0.000305699;0.000555425;0.000538311;0.000843898;0.000380840;0.000339304;0.000437141;0.000610169;0.001014935;0.000545583;0.000424836;0.000960826;0.000452317;0.000320986;0.000743911;0.000322075;0.000497331;0.001249378;0.001034670;0.000382085;0.000286750;0.000426444;0.000525301;0.000499517;0.000682141;0.000583945;0.000421612;0.000898082;0.001294506;0.000747789;0.001325328;0.000676686;0.000434667;0.000300316
12/02/10;0.000687657;0.000647646;0.000536311;0.000128756;0.000623980;0.000297086;0.000489169;0.000408598;0.000854459;0.001187106;0.000967703;0.000289337;0.000924519;0.000488819;0.000430814;0.000919008;0.000779282;0.000457320;0.000610116;0.000433655;0.000628544;0.001073807;0.000458733;0.000440891;0.003241812;0.000960554;0.000374208;0.000839255;0.000392034;0.000611758;0.000320040;0.000433278;0.000320442;0.000285517;0.000239245;0.000590767;0.001103001;0.000618396;0.000437177;0.000336920;0.000296800
18/02/10;0.000185905;0.000128059;0.000207301;0.000111745;0.000322062;0.000449469;0.000310205;0.000171788;0.000592404;0.000196862;0.000461573;0.000275381;0.000252822;0.000391168;0.000549212;0.000601831;0.000838924;0.000249437;0.000724446;0.000469997;0.000305953;0.000580834;0.000380291;0.000348382;0.001908322;0.000829157;0.000136864;0.000668566;0.000727442;0.000308663;0.000218372;0.000302533;0.000423133;0.000265493;0.000328430;0.001198633;0.000520641;0.000818079;0.001566586;0.000205262;0.000141010
19/02/10;0.000200601;0.000332799;0.000164770;0.000090037;0.000268326;0.000404039;0.000296253;0.000342085;0.000214869;0.000412033;0.000282791;0.000321180;0.000339671;0.000359859;0.000243057;0.000435692;0.000401453;0.000249988;0.000292627;0.000466719;0.000355186;0.000483867;0.000143634;0.000230718;0.001416685;0.000728642;0.000118132;0.000273150;0.000377898;0.000279249;0.000427017;0.000238651;0.000158041;0.000156164;0.000249423;0.000489752;0.000123278;0.000427522;0.000314378;0.000176209;0.000171668
22/02/10;0.000195404;0.000198093;0.000099645;0.000088732;0.000202809;0.000323582;0.000488974;0.000274942;0.000452504;0.000336693;0.000377350;0.000335564;0.000227766;0.000274347;0.000213466;0.000462276;0.000222673;0.000329370;0.000465737;0.000287670;0.000265670;0.000389009;0.000198439;0.000245464;0.001524326;0.000515513;0.000159900;0.000290079;0.000499385;0.000471251;0.000658665;0.000219214;0.000222379;0.000138892;0.000135625;0.000641637;0.000187143;0.000493266;0.000409652;0.000212777;0.000118042
23/02/10;0.000116594;0.000307226;0.000207687;0.000189612;0.000503790;0.000310474;0.000700476;0.000935266;0.000367787;0.000387062;0.000574834;0.000286527;0.000209775;0.000448486;0.000143393;0.000402255;0.000360798;0.000488645;0.000863991;0.000258545;0.000464382;0.000327736;0.000398223;0.000566178;0.000454289;0.001195066;0.000205214;0.000519937;0.000512290;0.000179603;0.000532085;0.000530355;0.000279842;0.000205371;0.000255658;0.001440803;0.000339742;0.000460732;0.000348203;0.000330019;0.000249088
25/02/10;0.000183105;0.000494263;0.000311960;0.000206052;0.000255313;0.000419468;0.000486446;0.001253055;0.000577384;0.000254334;0.000649393;0.000171835;0.000367915;0.000353577;0.000432772;0.000235017;0.000376124;0.000312032;0.000468030;0.000617221;0.000548826;0.000379532;0.000497778;0.000617330;0.001674107;0.000536086;0.000239804;0.000384241;0.000485745;0.000773305;0.001378363;0.000372445;0.000250157;0.000243055;0.000443920;0.000688325;0.000511083;0.000412425;0.000430900;0.000245533;0.000185196
26/02/10;0.000285571;0.000341376;0.000175507;0.000126138;0.000519087;0.000210119;0.000410162;0.002001010;0.000585005;0.000483643;0.000350220;0.000191802;0.000314909;0.000254620;0.000358204;0.000544000;0.000379361;0.000201822;0.000437302;0.000455196;0.000456303;0.000767935;0.000312882;0.000606802;0.000631300;0.000745854;0.000176750;0.000592630;0.000380207;0.000256803;0.000809164;0.000796623;0.000280500;0.000207350;0.000417470;0.000688079;0.000398789;0.001089339;0.000428133;0.000234811;0.000184275
01/03/10;0.000264117;0.000146500;0.000082262;0.000054305;0.000258195;0.000253266;0.000280845;0.000235291;0.000327949;0.000219670;0.000420159;0.000311462;0.000330668;0.000180548;0.000200635;0.000213120;0.000318398;0.000204677;0.000264526;0.000226198;0.000225730;0.000204513;0.000246400;0.000347997;0.000478326;0.001238442;0.000075888;0.000211365;0.000317296;0.000460425;0.001015375;0.000160688;0.000182060;0.000112764;0.000729354;0.000710601;0.000150509;0.000342593;0.000296817;0.000171526;0.000090253
02/03/10;0.000100303;0.000172401;0.000048707;0.000058116;0.000144691;0.000048157;0.000319840;0.000362328;0.000222121;0.000218649;0.000145247;0.000217633;0.000140275;0.000122822;0.000243475;0.000364880;0.000288934;0.000146982;0.000185548;0.000156950;0.000307691;0.000339078;0.000224171;0.000286227;0.000328143;0.000709564;0.000090652;0.000293213;0.000244497;0.000399335;0.000464905;0.000202924;0.000105497;0.000089226;0.000634972;0.000278833;0.000134416;0.000283215;0.000175724;0.000206594;0.000122340
03/03/10;0.000204649;0.000317778;0.000199805;0.000142432;0.000228276;0.000646268;0.000341930;0.000446060;0.000410442;0.000515948;0.000340152;0.000650990;0.000178238;0.000121929;0.000222742;0.000472633;0.000331693;0.000367713;0.000305200;0.000373536;0.000307373;0.000334477;0.000197341;0.000372291;0.001568534;0.000555218;0.000197356;0.000533238;0.000269075;0.000537280;0.000361942;0.000352891;0.000159209;0.000143945;0.001186435;0.001011710;0.000214420;0.000364269;0.000285137;0.000131888;0.000107230
04/03/10;0.000235281;0.000113386;0.000173167;0.000161168;0.000329678;0.000349664;0.000512714;0.000995670;0.000502324;0.000555068;0.001376271;0.000315686;0.000312155;0.000160396;0.000336828;0.000403210;0.000364680;0.000378003;0.000749796;0.000320266;0.000313276;0.000577726;0.000330713;0.000418633;0.001781601;0.001123504;0.000250874;0.000638412;0.000291963;0.000412637;0.000216664;0.000469001;0.000242492;0.000214256;0.000865783;0.001950965;0.000156147;0.000614661;0.000427929;0.000285620;0.000218116
05/03/10;0.000099091;0.000101997;0.000080923;0.000061752;0.000260928;0.000218897;0.000368214;0.000429466;0.000185214;0.000743509;0.000295358;0.000222620;0.000126160;0.000122293;0.000218992;0.000651476;0.000189492;0.000120579;0.000214625;0.000103484;0.000253249;0.000066082;0.000140886;0.000231999;0.002236623;0.000573418;0.000082761;0.000486653;0.000213559;0.000600936;0.000926410;0.000176625;0.000105930;0.000094340;0.000663607;0.000393543;0.000190660;0.000370495;0.000130460;0.000146808;0.000125049
08/03/10;0.000159286;0.000127968;0.000108363;0.000113985;0.000357486;0.000146250;0.000230628;0.000464767;0.000299565;0.000320501;0.000874317;0.000269702;0.000165113;0.000134142;0.000547142;0.000368534;0.000170209;0.000194307;0.000290037;0.000358506;0.000179839;0.000391181;0.000254169;0.000282696;0.001133798;0.000605342;0.000196389;0.000467950;0.000144208;0.000812588;0.000200240;0.000376765;0.000174045;0.000190013;0.000611987;0.000318868;0.000392046;0.000594686;0.000364442;0.000147098;0.000142474
09/03/10;0.000208770;0.000275442;0.000162807;0.000126994;0.000539352;0.000321416;0.000404895;0.000829080;0.000187566;0.000293579;0.000973747;0.000387131;0.000235319;0.000323194;0.000424110;0.000488849;0.000275880;0.000542820;0.000459089;0.000638041;0.000313382;0.000207076;0.000388807;0.000430438;0.000771595;0.000852137;0.000218661;0.000347070;0.000512970;0.000292463;0.000566509;0.000238793;0.000239025;0.000216537;0.000994407;0.000855043;0.000454375;0.000518922;0.000227649;0.000303368;0.000183586
10/03/10;0.000094838;0.000194785;0.000135881;0.000138768;0.000347850;0.000464057;0.000464703;0.000771194;0.000109670;0.000329065;0.000604442;0.000271750;0.000174423;0.000192445;0.000342667;0.000188895;0.000375018;0.000279304;0.000399274;0.000621856;0.000375843;0.000402849;0.000267889;0.000407630;0.000333862;0.000679703;0.000191931;0.000263823;0.000148931;0.000407327;0.000787435;0.000360235;0.000146442;0.000176482;0.000311517;0.000208469;0.000296617;0.000371024;0.000555800;0.000284016;0.000195470
11/03/10;0.000156492;0.000119431;0.000135537;0.000109237;0.000251296;0.000230114;0.000505304;0.000211198;0.000335590;0.000514742;0.000651131;0.000185008;0.000091498;0.000050566;0.000159332;0.000496002;0.000264319;0.000444078;0.000583450;0.000293954;0.000215144;0.000492865;0.000398265;0.000461457;0.000735182;0.000545573;0.000157975;0.000410806;0.000595432;0.000258821;0.000538391;0.000239708;0.000184785;0.000204536;0.000707054;0.000258878;0.000083561;0.000427054;0.000399008;0.000193107;0.000155024
12/03/10;0.000163900;0.000231853;0.000142095;0.000045928;0.000189195;0.000098683;0.000673116;0.000603840;0.000540323;0.000322899;0.000299387;0.000236079;0.000089613;0.000065957;0.000241670;0.000336717;0.000400503;0.000232092;0.000317252;0.000345257;0.000258399;0.000160658;0.000165485;0.000280789;0.001402476;0.000422341;0.000145403;0.000224494;0.000144499;0.000430298;0.000364752;0.000384343;0.000135122;0.000106570;0.001065729;0.000323516;0.000209728;0.000240054;0.000363884;0.000159815;0.000095994
15/03/10;0.000138507;0.000160069;0.000211539;0.000105600;0.000540713;0.000122744;0.000831338;0.000237047;0.000259084;0.000164347;0.000235694;0.000486045;0.000253287;0.000208558;0.000357704;0.000380137;0.000334504;0.000224112;0.000468919;0.000846962;0.000309478;0.000241778;0.000149059;0.000425774;0.001174299;0.001060491;0.000282494;0.000428545;0.000570867;0.000391830;0.000221684;0.000363674;0.000200158;0.000169349;0.000403652;0.000589208;0.000220726;0.000359039;0.000371445;0.000200879;0.000156932
16/03/10;0.000065766;0.000140633;0.000192508;0.000304499;0.000209260;0.000140833;0.000319801;0.000490561;0.000255663;0.000162701;0.000291440;0.000634643;0.000123986;0.000094525;0.000205053;0.000287255;0.000059083;0.000196782;0.000187912;0.000315343;0.000418291;0.000160198;0.000151376;0.000254377;0.000474301;0.000347992;0.000135194;0.000297259;0.000318369;0.000706504;0.000829151;0.000253851;0.000133167;0.000083849;0.000851353;0.000641773;0.000159805;0.000414426;0.000204685;0.000119965;0.000117581
17/03/10;0.000202283;0.000103638;0.000162792;0.000091551;0.000262479;0.000131241;0.000216464;0.000453710;0.000246858;0.000174549;0.000404896;0.000464778;0.000101222;0.000140483;0.000326078;0.000421030;0.000268047;0.000271779;0.000453681;0.000233362;0.000174744;0.000480954;0.000294477;0.000344246;0.001448263;0.000611862;0.000172791;0.000350446;0.000233070;0.000435983;0.000450869;0.000199121;0.000152153;0.000089905;0.000272963;0.000456085;0.000266859;0.000596571;0.000087579;0.000173580;0.000137832
