Australia	Austria	Belgium	Canada	Denmark	Finland	France	Germany	Greece	Hong_Kong	Ireland	Italy	Japan	Netherlands	Norway	New_Zealand	Portugal	Singapore	Spain	Sweden	Switzerland	UK	USA
0.48515249	0.29274966	-0.85894719	-0.05142093	-0.33706444	0.28366651	-0.83498482	-0.71653083	-0.14112787	0.97804169	-0.79191037	-0.96687888	0.81817056	-0.88027263	-1.1326655	-0.074815853	0.63608158	0.90255642	-0.78784837	-2.1561353	-1.5238219	-0.65642854	-1.2149937
-0.33082805	0.41249652	0.5474784	-0.83809315	0.28938481	0.17175344	-0.19519318	0.23002134	0.55305815	-0.97904375	0.57085079	0.052487502	-0.33290887	-0.42064475	-0.30782348	-0.036115865	-0.093094981	-1.2245524	-1.0250017	0.2688441	0.39306106	0.27412097	-1.3752724
-0.52389886	-0.22536689	-1.1874752	0.25135761	-1.253793	-2.1260378	-1.4891431	-1.009213	0.53171782	0.15855531	0.25821145	-1.2930962	0.68010769	-1.0653744	-0.93326651	-1.5664796	-0.33940638	-0.38201093	-2.0224521	-1.0730459	-1.6902644	-0.73951537	0.13522816
-0.76849281	0.0755733	0.84854065	-0.21450288	1.3349455	0.72861435	0.90200976	0.53268993	0.76376313	-0.2937873	0.0313673	0.33819262	-0.10914836	1.4308336	0.2163556	-1.054754	0.41865809	1.1439083	0.55308592	1.6147172	1.5946438	1.0577234	-1.1670074
-2.2980493	0.68224442	0.5801895	-1.5101101	0.17836572	0.75398729	0.08006728	-0.34411729	0.23439959	-2.072675	-1.2345675	1.0710975	-0.77960952	-0.2654953	-1.9682608	-2.2734882	0.008746704	-1.5306451	0.30902267	0.12219323	-0.41528019	-0.27032726	-0.374835
0.6586076	0.3698025	-0.028289309	1.0601799	1.4075035	1.5757539	0.19185846	1.8987529	0.53793763	1.4222408	-1.0487795	-0.84055129	0.40781569	0.34513955	1.5245537	0.91437782	-0.19047916	-0.060552697	-0.37971208	0.73349033	0.37993978	-0.039776823	1.1065181
-0.31233826	0.023398949	2.3431618	0.23939065	1.3916355	2.0199149	2.7046061	1.8896804	0.58767587	0.003274985	1.1580855	2.2427478	2.5646173	3.0607801	0.38572279	-0.85954111	0.44421547	1.0354136	2.1135517	1.3515485	3.3437102	1.8319104	-0.000774781
0.1372875	1.3060572	-0.15647803	0.029902885	-0.38024848	-0.33635841	-0.17642944	-0.33185087	-0.91697205	-0.049669688	-1.1834807	0.27678937	0.01979565	-0.049828928	0.49379728	0.18592029	-1.1007197	-0.35902319	-0.20736867	0.17165897	-0.015065564	0.6755195	-1.6486867
-0.084394714	-2.9310114	-1.756349	-2.2488701	-0.70068446	-1.4899283	-2.1858256	-2.175234	-1.8113738	-0.95906737	-2.0374215	-1.9047493	-0.013859019	-1.7242376	-0.38439275	0.48764387	-2.3880625	0.017836217	-1.7098356	-0.85457893	-1.0119008	-2.0056895	-1.7091562
-1.5450701	-0.70791743	-1.6118409	-0.22880861	-1.8863704	-0.57454336	-1.5580163	-0.9774151	-0.69355895	1.117002	-3.1277166	-1.3770891	1.0620689	-1.4659419	-1.0163488	-0.42603678	-2.412087	1.7771894	-1.191103	-2.2178828	-1.5864774	-2.4262028	0.27649235
