"","BBAS3","BBDC3","BBDC4","BOVA11","BRAP4","BRFS3","BRKM5","BRML3","BTOW3","CCRO3","CESP6","CIEL3","CMIG4","CPFE3","CPLE6","CSAN3","CSMG3","CSNA3","CYRE3","ELET6","EMBR3","FIBR3","GGBR4","GOAU4","HGTX3","HYPE3","ITUB4","LAME4","LIGT3","LREN3","MULT3","NATU3","PETR3","PETR4","PSSA3","RENT3","SANB11","SBSP3","TRPL4","VALE3","VALE5"
"2015-11-05",17.05812906,20.8113117084,18.3474660176,46.45,7.918143828,56.55955131,19.6241682126,9.5307692403,15.537940745,12.34796486,15.4402105533,30.9769345545,7.0716355475,15.795076948,33.234564521,24.1176887064,14.161707165,4.95,9.3418509821,10.96,28.3780687399,47.2809492528,5.7220472283,2.71,14.9315079108,20.594927292,24.2825138136,14.98718337,12.838488414,18.5644107327,44.1344540375,24.5954936014,9.9,8.11,31.544146278,28.3801511805,13.5829302169,18.228438768,43.7104358236,16.850990982,13.758962288
"2015-11-06",16.21920468,20.45235206,18.0834737008,45.53,7.49147693,54.477724,20.020070735,9.3000000093,15.537940745,12.15770346,15.3339927196,30.5769688646,6.60137622,15.5792435984,31.797911876,23.642049834,13.345608786,5,9.059354967,10.73,27.9211589877,48.0818531829,5.5935729382,2.61,14.710163754,20.7200366634,23.9170437072,14.3337686425,12.390634167,18.2421458436,42.82640765,23.6108861714,9.58,7.82,31.4683645452,28.19542255,12.9515738737,18.0897441252,42.8698505193,15.5784677692,12.9741550528
"2015-11-09",15.827706636,19.8596512452,17.6792354657,44.76,7.422019528,54.18587905,20.0830552272,9.2153846246,15.0266923721,12.04354662,14.9284337182,29.8913133962,6.56588495,15.1279556856,30.9838087105,23.315631,13.5088284618,5.06,8.8353064033,10.55,27.5635774425,47.7964736216,5.4947465612,2.63,14.52571029,20.594927292,23.3050937616,14.3172264975,12.6493943986,17.6659752843,42.2450537,23.5025793541,9.27,7.64,30.7010745006,27.3495598735,12.714815245,17.881702161,41.0186738941,15.3498112544,12.815206752
"2015-11-10",15.967527366,19.6843453704,17.5884881068,44.93,7.29302721,52.444537515,19.9210951044,9.4230769325,14.435248176,12.25283416,15.3822735531,30.2096534351,6.654613125,15.4418951032,30.9933863948,23.6700285912,13.92167823,5.16,8.6794465329,10.75,27.5635774425,50.171568035,5.524609305,2.55,14.2582527672,20.4409465272,23.4495819432,14.209702555,13.2166764448,18.1347242139,42.729515325,23.0299677877,9.21,7.61,30.170602371,26.2606332095,12.8463478165,17.5646858346,42.973743085,15.2901617288,12.6463241824
"2015-11-11",16.088705332,19.9598260308,18.0174756216,45.78,7.312872182,54.292888865,21.2437694406,9.7615384713,14.3951502644,12.60481775,15.8168010546,29.9158010915,6.8409422925,15.69697088,31.8841110347,24.01509993,14.0368921188,5.34,8.864530129,10.77,27.6231743667,49.9506290198,5.534563556,2.6,14.9591759304,20.5083131118,24.0870298032,14.9292858625,13.286342661,18.847613211,43.2430446475,23.3844264625,9.26,7.72,31.970418525,26.5134197565,13.3549404263,17.8222615998,43.2854207821,15.2305122032,12.616521376
"2015-11-12",16.042098422,20.1518277032,18.0092258617,45.33,7.09457749,53.48545117,21.1717871638,9.692307702,14.2848810075,12.5572524,15.8457695547,30.1688406096,6.6102490375,15.893183016,29.1257379563,24.71456886,14.566577136,5.42,8.8450476452,10.62,27.2059958973,51.1013530573,5.206073273,2.45,14.8208358324,20.7200366634,24.1550242416,14.8962015725,13.1470102286,18.7987851975,43.25273388,23.2761196452,9.02,7.58,32.20723644,26.523142316,13.2146390167,17.7727277988,43.4554267987,14.962089338,12.4873758816
"2015-11-13",15.911599074,19.867999144,17.7452335449,45.22,7.04496506,54.059412905,20.9828336872,10.1076923178,15.03671685,12.43358249,15.5947092205,30.1525154794,6.49490241,16.040342118,29.0682718505,24.061731192,14.133906528,4.9,8.8060826776,10.62,28.1893451466,51.7733758952,5.206073273,2.44,14.617937022,20.3928275382,23.4835791624,15.169146965,12.9081546302,18.7597227867,43.67906011,22.9905834905,8.78,7.27,31.4778372618,27.1162184455,12.890192007,18.1095576456,43.918220955,15.2802201412,12.6761269888
"2015-11-16",16.12599086,19.7928680548,17.8937292231,45.44,6.806825396,54.10805373,21.414727348,10.0461538562,14.435248176,12.45260863,15.160181719,30.1525154794,6.477156775,15.795076948,29.0778495348,23.875206144,14.9319434272,4.92,8.474880453,10.63,28.6462548988,50.7423271576,5.016942504,2.29,14.5533783096,20.2484705712,24.1465249368,15.15260482,12.5299665994,18.5448795273,43.310869275,23.236735348,9.38,7.7,32.20723644,26.3967490425,13.0304934166,18.1590914466,43.3231998969,14.962089338,12.417836
"2015-11-17",16.414953702,20.702789024,18.561959775,45.89,6.618298162,54.915491425,22.6114326998,10.4230769335,14.5655663887,12.59530468,15.3822735531,30.5606437344,6.31744606,15.795076948,28.9820726918,23.875206144,14.9704030368,4.91,8.3579855502,10.46,28.5270610504,50.447741804,5.245890277,2.09,14.98684395,20.7681556524,24.3165110328,15.15260482,12.6493943986,18.9648004434,44.4057525475,23.9161144747,9.42,7.76,33.1639808166,26.2995234475,13.2847897215,18.4166672118,43.7009910449,14.4351851952,11.9906624416
"2015-11-18",16.536131668,21.1452276604,18.7104554532,46.08,6.657988106,53.99131575,22.6384260536,10.5769230875,14.7159335572,12.9377752,14.870496718,30.038239568,6.3795557825,16.3739027492,29.116160272,23.8938586488,14.951173232,5.76,8.2313494055,10.64,28.5469266918,50.5766228962,5.325524285,2.06,15.0145119696,20.7585318546,24.2570158992,15.2187734,12.390634167,19.0819876758,44.5414018025,24.2705731495,9.52,7.82,32.4156362052,26.6495355895,13.2847897215,18.4959212934,44.107116529,14.5047763084,11.8813854848
