;BBAS3;BBDC3;BBDC4;BOVA11;BRAP4;BRFS3;BRKM5;BRML3;BTOW3;CCRO3;CESP6;CIEL3;CMIG4;CPFE3;CPLE6;CSAN3;CSMG3;CSNA3;CYRE3;ELET6;EMBR3;FIBR3;GGBR4;GOAU4;HGTX3;HYPE3;ITUB4;LAME4;LIGT3;LREN3;MULT3;NATU3;PETR3;PETR4;PSSA3;RENT3;SANB11;SBSP3;TRPL4;VALE3;VALE5
03/02/10;0.000360874;0.000329526;0.000319368;0.000100138;0.000241280;0.000470012;0.000359071;0.000622834;0.000536916;0.000662040;0.001248016;0.000561998;0.000355436;0.000628719;0.000354774;0.000614425;0.000209763;0.000511589;0.000549023;0.000321133;0.000415738;0.000572757;0.000413626;0.000511052;0.001288045;0.001279958;0.000236434;0.000570106;0.000248034;0.001000954;0.001460848;0.000424744;0.000304358;0.000173854;0.000411438;0.000324360;0.000428743;0.000796506;0.000192648;0.000182124;0.000183323
04/02/10;0.000547511;0.000729718;0.000339363;0.000246546;0.000657048;0.000605712;0.000233877;0.000366379;0.001098213;0.001189575;0.001102691;0.001137937;0.000280372;0.000480634;0.000239869;0.001102146;0.000793097;0.000534685;0.001286707;0.000703115;0.000376722;0.001098936;0.000460400;0.000560319;0.002519268;0.000876723;0.000402553;0.001129384;0.000567610;0.000651112;0.000792562;0.000765761;0.000363770;0.000318696;0.000385846;0.001122764;0.000916716;0.000920072;0.000593695;0.000428486;0.000372603
05/02/10;0.001086198;0.001338998;0.001036252;0.000717789;0.001355221;0.001084382;0.000970002;0.003107563;0.001448109;0.002858938;0.001817180;0.002517959;0.001049472;0.001633280;0.000801683;0.002247393;0.000719155;0.001666448;0.001244908;0.001292523;0.001624927;0.002608314;0.001698100;0.001917416;0.006936379;0.002771865;0.001315837;0.001125702;0.002531419;0.001745827;0.001134009;0.009951682;0.000992625;0.000935541;0.001987074;0.003110953;0.001749167;0.000803051;0.000962421;0.000977266;0.000962650
08/02/10;0.000415387;0.000647416;0.000419358;0.000253951;0.000813656;0.000556730;0.000596914;0.000743795;0.000856849;0.000499445;0.002359388;0.000659252;0.000384897;0.000574623;0.000436327;0.000453471;0.000154233;0.000488342;0.001128375;0.000674156;0.000736974;0.000947428;0.000547075;0.000788784;0.006451553;0.001623746;0.000373906;0.000521532;0.000636035;0.001026211;0.000372222;0.000992344;0.000454698;0.000330698;0.000684122;0.001249486;0.001522888;0.000707066;0.000907755;0.000583360;0.000445570
09/02/10;0.000788790;0.000403743;0.000633117;0.000243376;0.000653247;0.000386338;0.000402991;0.000216484;0.000866111;0.000415153;0.000865443;0.000363447;0.000411493;0.000586152;0.000414829;0.000451247;0.000403480;0.000473189;0.000734912;0.000555488;0.000434491;0.000835292;0.000532452;0.000726543;0.007031456;0.001284464;0.000566330;0.001201934;0.000373302;0.000972673;0.003281563;0.000678766;0.000395589;0.000279610;0.000607666;0.000895985;0.000894014;0.000813027;0.000495602;0.000547155;0.000351038
10/02/10;0.000456797;0.000553924;0.000270099;0.000117682;0.000668721;0.000703852;0.000439964;0.000633415;0.000925513;0.000874519;0.000569950;0.000268536;0.000500481;0.000463296;0.000538427;0.001036198;0.000227734;0.000297454;0.000561024;0.000438686;0.000572491;0.000564423;0.000362038;0.000530661;0.002635274;0.001091667;0.000273097;0.000869830;0.000513408;0.000736345;0.001890991;0.000495561;0.000400259;0.000269774;0.000907852;0.001258210;0.000308923;0.000899332;0.000615805;0.000441329;0.000263269
11/02/10;0.000331202;0.000458744;0.000296277;0.000157540;0.000986117;0.000349663;0.000713645;0.000288460;0.000465904;0.000562134;0.000682909;0.000368543;0.000455140;0.000492434;0.000663526;0.000926008;0.000573950;0.000577129;0.000984326;0.000525283;0.000345484;0.000728484;0.000329549;0.000481731;0.001348057;0.000929888;0.000382747;0.000374720;0.000412517;0.000577480;0.000344462;0.000646871;0.000537436;0.000409638;0.000928759;0.001217221;0.000781944;0.001175005;0.000518298;0.000578669;0.000435656
12/02/10;0.000665701;0.000623767;0.000528968;0.000134220;0.000606907;0.000293893;0.000669243;0.000259765;0.000843384;0.001100835;0.000830882;0.000316939;0.000859341;0.000589835;0.000520521;0.000744300;0.001061795;0.000426163;0.000767682;0.000433401;0.000649935;0.000986845;0.000424885;0.000470916;0.001575424;0.001397311;0.000410411;0.001112239;0.000451571;0.000777059;0.000317777;0.000463436;0.000329024;0.000262163;0.000238617;0.000758501;0.001281002;0.000602779;0.000418905;0.000335467;0.000318173
18/02/10;0.000216042;0.000129311;0.000203476;0.000110799;0.000443308;0.000457057;0.000375051;0.000203956;0.000566973;0.000175748;0.000428227;0.000291281;0.000227664;0.000412480;0.000510892;0.000447597;0.000663469;0.000298560;0.000518450;0.000452088;0.000316701;0.000606290;0.000391356;0.000480442;0.001878777;0.000745053;0.000162592;0.000524021;0.000541932;0.000352447;0.000226514;0.000306965;0.000261359;0.000193869;0.000289201;0.001029579;0.000414726;0.000804738;0.001230837;0.000212800;0.000167768
19/02/10;0.000249144;0.000305034;0.000166001;0.000090205;0.000273196;0.000424237;0.000334438;0.000501081;0.000228639;0.000390068;0.000335570;0.000366217;0.000289231;0.000350905;0.000261933;0.000462731;0.000409762;0.000246567;0.000290589;0.000526783;0.000354466;0.000452297;0.000130481;0.000303667;0.001604027;0.000779761;0.000138466;0.000296744;0.000369957;0.000356260;0.000420988;0.000264946;0.000157143;0.000160740;0.000228225;0.000576403;0.000124176;0.000522487;0.000355931;0.000173709;0.000159150
